Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Andrea Petkovic,F,R,GER,1.0,239.0,0.5104602510460251,2018.0,2020.0,2018.0,2021.0
Angelique Kerber,F,L,GER,6.0,298.0,0.6610738255033557,2016.0,2020.0,2016.0,2020.0
Dominika Cibulkova,F,R,SVK,4.0,185.0,0.6162162162162163,2016.0,2019.0,2016.0,2019.0
Caroline Wozniacki,F,R,DEN,7.0,234.0,0.6837606837606838,2017.0,2020.0,2017.0,2020.0
Karin Knapp,F,R,ITA,1.0,25.0,0.48,2016.0,2017.0,2016.0,2016.0
Anastasia Pavlyuchenkova,F,R,RUS,4.0,260.0,0.5615384615384615,2017.0,2020.0,2017.0,2020.0
Olga Govortsova,F,R,BLR,4.0,185.0,0.5567567567567567,2019.0,2017.0,2019.0,2018.0
Ayumi Morita,F,R,JPN,0.0,21.0,0.42857142857142855,2019.0,2020.0,2019.0,2017.0
Julia Goerges,F,R,GER,5.0,252.0,0.6190476190476191,2018.0,2020.0,2018.0,2020.0
Ekaterina Makarova,F,L,RUS,1.0,200.0,0.53,2021.0,2019.0,2021.0,2020.0
Sara Errani,F,R,ITA,4.0,259.0,0.5328185328185329,2017.0,2020.0,2017.0,2021.0
Petra Cetkovska,F,R,CZE,0.0,7.0,0.14285714285714285,2016.0,2016.0,2016.0,2016.0
Ashley Weinhold,F,R,USA,0.0,18.0,0.2777777777777778,2017.0,2018.0,2017.0,2016.0
Monica Niculescu,F,R,ROU,3.0,221.0,0.5384615384615384,2018.0,2020.0,2018.0,2020.0
Sabine Lisicki,F,R,GER,0.0,107.0,0.4205607476635514,2016.0,2020.0,2016.0,2019.0
Sorana Cirstea,F,R,ROU,3.0,270.0,0.5592592592592592,2016.0,2020.0,2016.0,2020.0
Alisa Kleybanova,F,R,RUS,1.0,22.0,0.6818181818181818,2017.0,2018.0,2017.0,2017.0
Evgeniya Rodina,F,R,RUS,2.0,226.0,0.45132743362831856,2016.0,2019.0,2016.0,2019.0
Magdalena Rybarikova,F,R,SVK,4.0,150.0,0.58,2017.0,2016.0,2017.0,2016.0
Yanina Wickmayer,F,R,BEL,2.0,212.0,0.5188679245283019,2019.0,2020.0,2019.0,2020.0
Petra Kvitova,F,L,CZE,11.0,281.0,0.6832740213523132,2016.0,2020.0,2018.0,2017.0
Carla Suarez Navarro,F,R,ESP,1.0,214.0,0.5700934579439252,2016.0,2021.0,2016.0,2021.0
Marina Erakovic,F,R,NZL,0.0,88.0,0.5227272727272727,2016.0,2017.0,2016.0,2017.0
Urszula Radwanska,F,R,POL,3.0,165.0,0.5454545454545454,2019.0,2020.0,2019.0,2020.0
Stefanie Voegele,F,R,SUI,2.0,366.0,0.3797814207650273,2016.0,2020.0,2018.0,2020.0
Melanie Oudin,F,R,USA,0.0,33.0,0.48484848484848486,2016.0,2016.0,2016.0,2016.0
Kristie Ahn,F,R,USA,2.0,266.0,0.5263157894736842,2017.0,2020.0,2017.0,2021.0
Gail Brodsky,F,R,USA,2.0,40.0,0.55,2018.0,2017.0,2018.0,2017.0
Mariana Duque Marino,F,R,COL,1.0,143.0,0.5454545454545454,2017.0,2016.0,2017.0,2016.0
Anastasia Pivovarova,F,R,RUS,3.0,81.0,0.5308641975308642,2016.0,2018.0,2016.0,2017.0
Shuai Zhang,F,R,CHN,7.0,307.0,0.5765472312703583,2016.0,2020.0,2016.0,2020.0
Asia Muhammed,F,R,USA,6.0,241.0,0.5477178423236515,2016.0,2021.0,2016.0,2021.0
Coco Vandeweghe,F,R,USA,1.0,172.0,0.5406976744186046,2017.0,2020.0,2017.0,2020.0
Christina Mchale,F,R,USA,3.0,290.0,0.503448275862069,2017.0,2020.0,2016.0,2021.0
Kristina Mladenovic,F,R,FRA,1.0,308.0,0.5097402597402597,2017.0,2020.0,2017.0,2020.0
Olivia Rogowska,F,R,AUS,5.0,192.0,0.5416666666666666,2017.0,2020.0,2017.0,2018.0
Anastasija Sevastova,F,R,LAT,3.0,298.0,0.5805369127516778,2018.0,2020.0,2018.0,2020.0
Michelle Larcher De Brito,F,R,POR,1.0,87.0,0.4827586206896552,2016.0,2018.0,2016.0,2018.0
Ajla Tomljanovic,F,R,AUS,0.0,231.0,0.5367965367965368,2018.0,2016.0,2018.0,2020.0
Petra Martic,F,R,CRO,3.0,218.0,0.6238532110091743,2018.0,2016.0,2019.0,2016.0
Tamaryn Hendler,F,R,BEL,0.0,49.0,0.673469387755102,2018.0,2017.0,2018.0,2017.0
Arantxa Rus,F,L,NED,16.0,388.0,0.6443298969072165,2019.0,2020.0,2019.0,2020.0
Vitalia Diatchenko,F,R,RUS,10.0,208.0,0.6442307692307693,2019.0,2020.0,2019.0,2020.0
Polona Hercog,F,R,SLO,8.0,251.0,0.5657370517928287,2019.0,2020.0,2017.0,2020.0
Lucie Hradecka,F,R,CZE,1.0,134.0,0.4701492537313433,2016.0,2020.0,2019.0,2020.0
Corinna Dentoni,F,R,ITA,1.0,112.0,0.6160714285714286,2019.0,2020.0,2019.0,2020.0
Lauren Embree,F,R,USA,0.0,49.0,0.5714285714285714,2017.0,2016.0,2017.0,2016.0
Claire Feuerstein,F,L,FRA,1.0,28.0,0.5,2016.0,2016.0,2016.0,2016.0
Silvia Soler Espinosa,F,R,ESP,1.0,191.0,0.49214659685863876,2018.0,2019.0,2018.0,2019.0
Katarzyna Piter,F,R,POL,1.0,216.0,0.4722222222222222,2016.0,2021.0,2016.0,2020.0
Alexandra Dulgheru,F,R,ROU,2.0,141.0,0.5673758865248227,2017.0,2019.0,2017.0,2019.0
Kristina Kucova,F,R,SVK,2.0,213.0,0.5446009389671361,2016.0,2017.0,2016.0,2017.0
Vesna Dolonc,F,R,SRB,1.0,29.0,0.6551724137931034,2016.0,2016.0,2016.0,2016.0
Laura Robson,F,L,GBR,2.0,114.0,0.4649122807017544,2017.0,2019.0,2017.0,2019.0
Kai Chen Chang,F,R,TPE,2.0,154.0,0.5584415584415584,2016.0,2020.0,2016.0,2020.0
Xinyun Han,F,L,CHN,5.0,225.0,0.49777777777777776,2018.0,2020.0,2018.0,2020.0
Jing Jing Lu,F,R,CHN,1.0,153.0,0.5555555555555556,2017.0,2019.0,2017.0,2019.0
Ksenia Pervak,F,L,KAZ,0.0,5.0,0.2,2016.0,2017.0,2016.0,2016.0
Sloane Stephens,F,R,USA,5.0,202.0,0.5841584158415841,2018.0,2020.0,2018.0,2020.0
Heather Watson,F,R,GBR,4.0,264.0,0.5189393939393939,2018.0,2020.0,2017.0,2021.0
Bojana Jovanovski,F,R,SRB,0.0,22.0,0.3181818181818182,2018.0,2016.0,2018.0,2018.0
Anna Tatishvili,F,R,GEO,0.0,61.0,0.4426229508196721,2016.0,2019.0,2016.0,2017.0
Sharon Fichman,F,R,CAN,0.0,8.0,0.625,2016.0,2019.0,2016.0,2016.0
Alison Riske,F,R,USA,4.0,253.0,0.5375494071146245,2016.0,2020.0,2016.0,2021.0
Irina Camelia Begu,F,R,ROU,4.0,260.0,0.5269230769230769,2017.0,2021.0,2017.0,2021.0
Simona Halep,F,R,ROU,11.0,293.0,0.7406143344709898,2017.0,2021.0,2017.0,2021.0
Misaki Doi,F,L,JPN,4.0,283.0,0.4911660777385159,2018.0,2020.0,2018.0,2020.0
Johanna Larsson,F,R,SWE,2.0,210.0,0.4857142857142857,2016.0,2020.0,2016.0,2020.0
Kurumi Nara,F,R,JPN,1.0,279.0,0.5161290322580645,2016.0,2020.0,2019.0,2020.0
Noppawan Lertcheewakarn,F,R,THA,1.0,55.0,0.5272727272727272,2016.0,2017.0,2016.0,2017.0
Andrea Hlavackova,F,R,CZE,0.0,43.0,0.46511627906976744,2016.0,2018.0,2016.0,2018.0
Shelby Rogers,F,R,USA,2.0,202.0,0.5346534653465347,2016.0,2018.0,2016.0,2019.0
Irina Falconi,F,R,USA,2.0,145.0,0.5103448275862069,2017.0,2019.0,2017.0,2019.0
Mandy Minella,F,R,LUX,7.0,239.0,0.5397489539748954,2018.0,2020.0,2018.0,2020.0
Rebecca Marino,F,R,CAN,6.0,113.0,0.6991150442477876,2018.0,2021.0,2018.0,2021.0
Sally Peers,F,R,AUS,0.0,12.0,0.16666666666666666,2016.0,2017.0,2017.0,2017.0
Zarina Diyas,F,R,KAZ,5.0,259.0,0.5752895752895753,2019.0,2020.0,2019.0,2020.0
Daria Gavrilova,F,R,AUS,1.0,205.0,0.5365853658536586,2017.0,2021.0,2017.0,2021.0
Junri Namigata,F,R,JPN,1.0,222.0,0.4954954954954955,2017.0,2021.0,2017.0,2021.0
Arina Rodionova,F,R,RUS,2.0,307.0,0.5211726384364821,2018.0,2020.0,2018.0,2020.0
Caroline Garcia,F,R,FRA,6.0,318.0,0.5943396226415094,2017.0,2020.0,2017.0,2020.0
Lesia Tsurenko,F,R,UKR,3.0,220.0,0.5454545454545454,2018.0,2020.0,2018.0,2019.0
Lauren Davis,F,R,USA,2.0,259.0,0.5521235521235521,2016.0,2020.0,2019.0,2020.0
Ana Vrljic,F,R,CRO,0.0,100.0,0.43,2016.0,2019.0,2017.0,2019.0
Fatma Al Nabhani,F,R,OMA,1.0,186.0,0.5483870967741935,2016.0,2021.0,2016.0,2018.0
Madison Keys,F,R,USA,4.0,215.0,0.6465116279069767,2016.0,2020.0,2016.0,2020.0
Monica Puig,F,R,PUR,1.0,230.0,0.591304347826087,2016.0,2020.0,2016.0,2019.0
Mona Barthel,F,R,GER,1.0,215.0,0.4744186046511628,2018.0,2020.0,2018.0,2020.0
Nicha Lertpitaksinchai,F,R,THA,0.0,77.0,0.4155844155844156,2016.0,2018.0,2016.0,2018.0
Estrella Cabeza Candela,F,R,ESP,2.0,94.0,0.6063829787234043,2017.0,2016.0,2017.0,2016.0
Maria Teresa Torro Flor,F,R,ESP,5.0,104.0,0.6057692307692307,2017.0,2018.0,2017.0,2018.0
Maria Joao Koehler,F,U,POR,1.0,89.0,0.5280898876404494,2017.0,2018.0,2017.0,2018.0
Naomi Broady,F,R,GBR,1.0,215.0,0.4790697674418605,2017.0,2020.0,2017.0,1800.0
Lenka Jurikova,F,R,SVK,5.0,87.0,0.6896551724137931,2016.0,2018.0,2016.0,2018.0
Ksenia Palkina,F,U,KGZ,1.0,157.0,0.45222929936305734,2018.0,2016.0,2018.0,2016.0
Ellen Allgurin,F,R,SWE,0.0,29.0,0.4482758620689655,2017.0,2020.0,2019.0,2020.0
Tadeja Majeric,F,R,SLO,2.0,54.0,0.6111111111111112,2016.0,2018.0,2016.0,2017.0
Nastja Kolar,F,R,SLO,5.0,271.0,0.6346863468634686,2017.0,2020.0,2017.0,2020.0
Melanie Klaffner,F,R,AUT,1.0,194.0,0.5876288659793815,2019.0,2020.0,2019.0,2020.0
Karolina Pliskova,F,R,CZE,12.0,349.0,0.6991404011461319,2018.0,2020.0,2017.0,2020.0
Pemra Ozgen,F,R,TUR,7.0,282.0,0.5460992907801419,2019.0,2020.0,2018.0,2021.0
Cagla Buyukakcay,F,R,TUR,3.0,272.0,0.5036764705882353,2019.0,2020.0,2019.0,2020.0
Ling Zhang,F,R,HKG,2.0,85.0,1.0,2017.0,2020.0,2017.0,2020.0
Alexandra Panova,F,R,RUS,1.0,90.0,0.4666666666666667,2016.0,2019.0,2016.0,2019.0
Amra Sadikovic,F,R,SUI,0.0,117.0,0.452991452991453,2017.0,2018.0,2017.0,2018.0
Ksenia Lykina,F,R,RUS,3.0,110.0,0.5363636363636364,2016.0,2018.0,2016.0,2018.0
Nigina Abduraimova,F,R,UZB,6.0,176.0,0.6022727272727273,2016.0,2020.0,2016.0,2020.0
Sabina Sharipova,F,R,UZB,9.0,168.0,1.0,2016.0,2020.0,2016.0,2020.0
Ye Ra Lee,F,R,KOR,0.0,3.0,0.3333333333333333,2016.0,2016.0,2016.0,2016.0
Varatchaya Wongteanchai,F,R,THA,0.0,87.0,0.4942528735632184,2016.0,2018.0,2017.0,2016.0
Nudnida Luangnam,F,R,THA,4.0,172.0,0.5406976744186046,2019.0,2020.0,2018.0,2020.0
Bianca Botto,F,L,PER,0.0,1.0,1.0,2017.0,2017.0,2017.0,2017.0
Dia Evtimova,F,R,BUL,3.0,255.0,0.5215686274509804,2017.0,2020.0,2018.0,2020.0
Timea Babos,F,R,HUN,2.0,262.0,0.4847328244274809,2016.0,2020.0,2016.0,2020.0
Silvia Njiric,F,R,CRO,2.0,145.0,0.5655172413793104,2019.0,2017.0,2019.0,2020.0
Laura Siegemund,F,R,GER,3.0,249.0,0.570281124497992,2016.0,2017.0,2016.0,2017.0
Kristyna Pliskova,F,L,CZE,3.0,276.0,0.5398550724637681,2016.0,2020.0,2016.0,2020.0
Martina Caregaro,F,R,ITA,2.0,218.0,0.44036697247706424,2019.0,2020.0,2019.0,2020.0
