Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Hamad Medjedovic,M,R,SRB,0.0,8.0,0.375,2021.0,2021.0,2021.0,2021.0
Aissa Benchakroun,M,U,MAR,0.0,1.0,1.0,2020.0,2020.0,2020.0,2020.0
Ari Fahresi,M,U,INA,0.0,1.0,1.0,2019.0,2019.0,2019.0,2019.0
Martin Antonio Vergara Del Puerto,M,U,PAR,0.0,1.0,1.0,2020.0,2020.0,2020.0,2020.0
Adolfo Daniel Vallejo,M,R,PAR,0.0,3.0,0.6666666666666666,2020.0,2019.0,2020.0,2020.0
Arthur Fery,M,R,GBR,0.0,5.0,0.4,2021.0,2021.0,2021.0,2021.0
Luciano Darderi,M,R,ITA,0.0,4.0,0.25,2020.0,2020.0,,
Matteo Gigante,M,L,ITA,0.0,16.0,0.25,2020.0,2021.0,2020.0,2021.0
Tristan Schoolkate,M,R,AUS,0.0,12.0,0.4166666666666667,2019.0,2021.0,2019.0,2020.0
Alec Beckley,M,U,RSA,0.0,3.0,0.3333333333333333,2020.0,2021.0,2020.0,2020.0
Daniel Siniakov,M,U,CZE,0.0,5.0,0.4,2021.0,2021.0,2021.0,2021.0
Francesco Forti,M,R,ITA,0.0,59.0,0.5423728813559322,2021.0,2020.0,2021.0,2020.0
Nino Ehrenschneider,M,L,GER,0.0,3.0,0.3333333333333333,2021.0,2020.0,2021.0,2021.0
Leandro Riedi,M,R,SUI,0.0,6.0,0.3333333333333333,2021.0,2020.0,2020.0,2020.0
Gunawan Trismuwantara,M,U,INA,0.0,1.0,1.0,2020.0,2020.0,2020.0,2020.0
Maks Kasnikowski,M,U,POL,0.0,3.0,0.3333333333333333,2021.0,2020.0,2020.0,2020.0
Carl Roothman,M,U,RSA,0.0,3.0,0.3333333333333333,2020.0,2021.0,2020.0,2020.0
Lukas Neumayer,M,R,AUT,0.0,4.0,0.5,2021.0,2021.0,2021.0,2021.0
Szymon Kielan,M,U,POL,0.0,2.0,0.5,2021.0,2021.0,2021.0,2021.0
Arthur Fils,M,R,FRA,0.0,2.0,0.5,2021.0,2021.0,2021.0,2021.0
Jack Pinnington Jones,M,R,GBR,0.0,2.0,0.5,2021.0,2021.0,,
Gabriele Piraino,M,L,ITA,0.0,4.0,0.5,2021.0,2021.0,2021.0,2021.0
Ben Shelton,M,L,USA,0.0,2.0,0.5,2021.0,2021.0,2021.0,2021.0
Jeff Greenwald,M,R,USA,0.0,1.0,0.0,2018.0,2018.0,,
Wei Yu Su,M,R,TPE,0.0,1.0,0.0,2016.0,2016.0,,
Nenad Zimonjic,M,R,SRB,0.0,3.0,0.0,2017.0,2020.0,,
Takao Suzuki,M,R,JPN,0.0,1.0,0.0,2016.0,2016.0,,
Robert Lindstedt,M,R,SWE,0.0,1.0,0.0,2016.0,2016.0,,
