Name,w_ace_clay,w_ace_grass,w_ace_hard,w_ace_carpet,w_df_clay,w_df_grass,w_df_hard,w_df_carpet,w_svpt_clay,w_svpt_grass,w_svpt_hard,w_svpt_carpet,w_1stIn_clay,w_1stIn_grass,w_1stIn_hard,w_1stIn_carpet,w_1stWon_clay,w_1stWon_grass,w_1stWon_hard,w_1stWon_carpet,w_2ndWon_clay,w_2ndWon_grass,w_2ndWon_hard,w_2ndWon_carpet,w_SvGms_clay,w_SvGms_grass,w_SvGms_hard,w_SvGms_carpet,w_bpSaved_clay,w_bpSaved_grass,w_bpSaved_hard,w_bpSaved_carpet,w_bpFaced_clay,w_bpFaced_grass,w_bpFaced_hard,w_bpFaced_carpet
Irina Khromacheva,25.0,5.0,82.0,82.0,64.0,4.0,109.0,109.0,605.0,114.0,1303.0,1303.0,328.0,62.0,696.0,696.0,221.0,40.0,500.0,500.0,132.0,23.0,299.0,299.0,95.0,16.0,193.0,193.0,37.0,6.0,70.0,70.0,66.0,13.0,112.0,112.0
Iryna Shymanovich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chanel Simmonds,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0,45.0,45.0,0.0,0.0,27.0,27.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,6.0,6.0,0.0,0.0,9.0,9.0
Mayar Sherif,32.0,7.0,30.0,30.0,20.0,2.0,14.0,14.0,1050.0,40.0,565.0,565.0,769.0,29.0,390.0,390.0,518.0,25.0,276.0,276.0,140.0,7.0,99.0,99.0,166.0,8.0,92.0,92.0,44.0,0.0,17.0,17.0,82.0,0.0,31.0,31.0
Polona Hercog,146.0,62.0,121.0,121.0,172.0,71.0,107.0,107.0,3492.0,940.0,1893.0,1893.0,2024.0,499.0,1049.0,1049.0,1381.0,376.0,783.0,783.0,742.0,223.0,461.0,461.0,546.0,127.0,293.0,293.0,221.0,42.0,97.0,97.0,368.0,72.0,137.0,137.0
Mihaela Buzarnescu,62.0,42.0,76.0,76.0,99.0,24.0,131.0,131.0,2185.0,1028.0,2334.0,2334.0,1423.0,692.0,1455.0,1455.0,947.0,460.0,967.0,967.0,367.0,194.0,444.0,444.0,345.0,162.0,351.0,351.0,138.0,47.0,132.0,132.0,228.0,77.0,221.0,221.0
Viktoriya Tomova,17.0,8.0,50.0,50.0,63.0,16.0,103.0,103.0,1707.0,379.0,2534.0,2534.0,1213.0,236.0,1748.0,1748.0,712.0,153.0,1087.0,1087.0,235.0,68.0,376.0,376.0,246.0,53.0,385.0,385.0,115.0,28.0,155.0,155.0,202.0,41.0,277.0,277.0
Eleonora Molinaro,2.0,0.0,25.0,25.0,7.0,0.0,17.0,17.0,224.0,0.0,493.0,493.0,173.0,0.0,314.0,314.0,88.0,0.0,224.0,224.0,24.0,0.0,104.0,104.0,37.0,0.0,83.0,83.0,12.0,0.0,27.0,27.0,29.0,0.0,41.0,41.0
Kathinka Von Deichmann,1.0,0.0,13.0,13.0,29.0,0.0,11.0,11.0,783.0,0.0,253.0,253.0,592.0,0.0,175.0,175.0,343.0,0.0,107.0,107.0,91.0,0.0,43.0,43.0,113.0,0.0,11.0,11.0,54.0,0.0,29.0,29.0,95.0,0.0,39.0,39.0
Rebecca Sramkova,53.0,2.0,32.0,32.0,39.0,3.0,31.0,31.0,1420.0,69.0,712.0,712.0,885.0,47.0,411.0,411.0,591.0,28.0,271.0,271.0,265.0,11.0,147.0,147.0,213.0,12.0,85.0,85.0,78.0,7.0,52.0,52.0,131.0,12.0,79.0,79.0
Madison Brengle,7.0,9.0,21.0,21.0,21.0,33.0,159.0,159.0,807.0,1131.0,4008.0,4008.0,616.0,830.0,2881.0,2881.0,389.0,510.0,1797.0,1797.0,96.0,155.0,555.0,555.0,104.0,154.0,592.0,592.0,44.0,63.0,207.0,207.0,77.0,122.0,386.0,386.0
