,Name,ace_percent,break_point,fspw,average_rank
1,Gonzalo Villanueva,0.034550623223267005,0.5463709677419355,0.6458630527817404,500.76190476190476
2,Ben Patael,0.06104129263913824,0.581081081081081,0.6567055393586005,466.525
3,Filipe Brandao,0.03260869565217391,0.5,0.5192307692307693,380.0
4,Tim Puetz,0.09123728257302265,0.5984251968503937,0.7149046793760832,447.2368421052632
6,Nicolas Kicker,0.040140425250049676,0.5644847699287103,0.6593638087212976,278.26666666666665
7,Kimberly Birrell,0.04979811574697174,0.632183908045977,0.6461038961038961,294.32323232323233
9,Nicaise Muamba,0.026865671641791045,0.7419354838709677,0.7323232323232324,130.6153846153846
10,Sho Shimabukuro,0.05436668594563331,0.6036585365853658,0.6821862348178138,784.6190476190476
11,Alex Kuznetsov,0.0731004681310767,0.611764705882353,0.7065613608748481,446.9655172413793
12,Irene Burillo Escorihuela,0.0,0.5294117647058824,0.5411764705882353,529.5089605734767
13,Andreas Beck,0.05999220880405142,0.5867768595041323,0.6926546391752577,446.4193548387097
14,Ricardas Berankis,0.06494800693240901,0.607436021245775,0.7028760902472428,192.48387096774192
17,Angelica Moratelli,0.0273972602739726,0.6190476190476191,0.5824175824175825,678.6807692307692
18,Sohyun Park,0.03067484662576687,0.5652173913043478,0.6559139784946236,539.266129032258
20,Holger Rune,0.03268824199056757,0.5702614379084967,0.6579566239874576,356.64285714285717
21,Gonzales Austin,0.04394224733207784,0.5283018867924528,0.6900647948164147,935.2352941176471
22,Maria Irigoyen,0.012048192771084338,0.4523809523809524,0.5798319327731093,237.2941176470588
24,Marat Deviatiarov,0.0440251572327044,0.6111111111111112,0.6888888888888889,1107.5
25,Alexander Ritschard,0.05646359583952452,0.5803324099722992,0.6698137279918347,423.0
26,Jaqueline Adina Cristian,0.03608247422680412,0.5435684647302904,0.6324655436447167,447.4896551724138
28,David Goffin,0.07398729884703126,0.5823358136525396,0.6975735673722251,50.01875
30,Gavin Van Peperzeel,0.07479431563201197,0.6693227091633466,0.6882591093117408,685.4242424242424
32,Fabrizio Ornago,0.05255527364987314,0.5662100456621004,0.6858485026423957,316.6666666666667
33,Ugo Humbert,0.0844132376477877,0.6443729903536978,0.7338190443917316,173.02739726027397
35,Kirill Kivattsev,0.10531914893617021,0.6721311475409836,0.7693726937269373,426.84615384615387
36,Botic van de Zandschulp,0.058218297179113435,0.559410234171726,0.6821574426137164,281.4379562043796
37,Veronica Cepede Royg,0.020040860005837144,0.546801872074883,0.6061120543293718,203.17391304347825
38,Joao Lucas Reis Da Silva,0.035398230088495575,0.5714285714285714,0.6949152542372882,252.5
39,Olga Govortsova,0.02410099464422341,0.5164670658682635,0.5935273159144893,292.9351351351351
40,Maryna Zanevska,0.029688972667295005,0.552434456928839,0.6307811892732219,287.62730627306274
43,Adrian Ungur,0.03995709305443819,0.5422343324250681,0.6653508771929825,266.04347826086956
44,Erika Sema,0.01338199513381995,0.6062992125984252,0.5986159169550173,421.85425101214577
45,Kai Lin Zhang,0.018629254829806808,0.5255972696245734,0.6057959507741167,597.6454545454545
46,Katerina Siniakova,0.032028958944281524,0.5252798147433423,0.6246987951807229,67.6219512195122
48,Raveena Kingsley,0.01694915254237288,0.5294117647058824,0.7238095238095238,414.7837837837838
49,Sharmal Dissanayake,0.05339805825242718,0.5737704918032787,0.6194029850746269,1341.0
51,Jose Fernando Carvajal Torres,0.03806228373702422,0.5833333333333334,0.6257668711656442,657.1111111111111
52,Tobias Kamke,0.04410445792666842,0.5664335664335665,0.6764811168784679,236.2721088435374
54,Maxime Tabatruong,0.05887560867640549,0.5900900900900901,0.6837672281776417,424.5128205128205
55,Nathan Pasha,0.05378973105134474,0.6927374301675978,0.6663644605621033,616.9032258064516
