,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
621,Hamid Reza Nadaf,M,R,IRI,0.0,1.0,1.0,2017.0,2017.0,2017.0,2017.0,
622,Benjamin Mitchell,M,R,AUS,0.0,37.0,0.4594594594594595,2016.0,2017.0,2016.0,2017.0,440.59907120743037
623,Alexandre Tsuchiya,M,U,BRA,0.0,9.0,0.4444444444444444,2016.0,2017.0,2016.0,2017.0,865.425
624,Salvatore Caruso,M,R,ITA,2.0,327.0,0.5076452599388379,2019.0,2021.0,2019.0,2021.0,180.43726892292693
625,Hunter Callahan,M,R,USA,0.0,11.0,0.4545454545454545,2016.0,2017.0,2016.0,2017.0,992.5166666666667
626,Dane Webb,M,U,USA,0.0,3.0,0.3333333333333333,2016.0,2016.0,2016.0,2016.0,
627,Guilherme Clezar,M,R,BRA,0.0,252.0,0.496031746031746,2017.0,2021.0,2017.0,2021.0,250.97751067640172
628,George Tsivadze,M,U,GEO,0.0,8.0,0.125,2017.0,2018.0,2017.0,2017.0,860.2857142857142
629,Alex Bolt,M,L,AUS,2.0,229.0,0.5676855895196506,2018.0,2016.0,2017.0,2016.0,227.89593342484557
630,Filip Horansky,M,R,SVK,1.0,245.0,0.5183673469387755,2019.0,2017.0,2019.0,2016.0,245.11031105990784
631,Carlos Boluda Purkiss,M,R,ESP,0.0,51.0,0.3725490196078431,2019.0,2016.0,2019.0,2016.0,349.9344758064516
632,Ricardo Ojeda Lara,M,R,ESP,1.0,99.0,0.4343434343434343,2018.0,2016.0,2017.0,2016.0,262.21989202657807
633,Taro Daniel,M,R,JPN,5.0,340.0,0.538235294117647,2017.0,2020.0,2017.0,2020.0,103.83853853100541
634,Dragos Constantin Ignat,M,R,ROU,0.0,11.0,0.4545454545454545,2016.0,2017.0,2016.0,2017.0,1201.6333333333332
635,Tristan Lamasine,M,R,FRA,0.0,306.0,0.5196078431372549,2018.0,2020.0,2018.0,2020.0,273.48669009444325
636,Yaraslau Shyla,M,R,BLR,0.0,54.0,0.4814814814814814,2016.0,2020.0,2016.0,2020.0,541.0714285714286
637,Dekel Bar,M,R,ISR,0.0,8.0,0.375,2017.0,2016.0,2017.0,2017.0,638.5333333333333
638,Roberto Carballes Baena,M,R,ESP,7.0,384.0,0.5572916666666666,2017.0,2020.0,2017.0,2020.0,104.02716279896862
639,Maciej Smola,M,R,POL,0.0,5.0,0.2,2017.0,2016.0,2017.0,2017.0,853.25
640,Jeson Patrombon,M,R,PHI,0.0,11.0,0.2727272727272727,2016.0,2017.0,2016.0,2018.0,1309.2619047619048
641,Sebastien Boltz,M,R,FRA,0.0,8.0,0.5,2016.0,2017.0,2016.0,2017.0,594.8333333333333
642,Franco Agamenone,M,U,ARG,1.0,54.0,0.4629629629629629,2018.0,2019.0,2018.0,2017.0,572.6130952380952
643,Tomas Lipovsek Puches,M,U,ARG,0.0,77.0,0.4285714285714285,2016.0,2021.0,2016.0,2019.0,401.4708333333333
644,Diego Hidalgo,M,U,ECU,0.0,36.0,0.3055555555555556,2019.0,2017.0,2019.0,2020.0,436.2611111111111
645,Joris De Loore,M,R,BEL,0.0,150.0,0.58,2018.0,2017.0,2018.0,2017.0,273.089588377724
646,Sidharth Rawat,M,U,IND,0.0,94.0,0.4787234042553192,2018.0,2020.0,2018.0,2020.0,554.6215277777778
647,Vladyslav Manafov,M,U,UKR,0.0,55.0,0.4181818181818181,2018.0,2016.0,2021.0,2016.0,485.6357142857143
648,Maxime Chazal,M,U,FRA,0.0,61.0,0.4098360655737705,2016.0,2019.0,2016.0,2019.0,361.56617647058823
649,Gonzalo Lama,M,R,CHI,1.0,106.0,0.5188679245283019,2016.0,2019.0,2016.0,2021.0,415.3798113207547
650,Ricardo Rodriguez,M,R,VEN,0.0,54.0,0.5370370370370371,2018.0,2019.0,2018.0,2019.0,678.5267857142858
651,Oriol Roca Batalla,M,R,ESP,0.0,106.0,0.4528301886792453,2019.0,2017.0,2019.0,2021.0,313.5059523809524
652,Felipe Mantilla,M,R,COL,0.0,52.0,0.4230769230769231,2018.0,2019.0,2018.0,2019.0,621.0681818181818
653,Dante Gennaro,M,R,ARG,0.0,10.0,0.3,2018.0,2017.0,2018.0,2018.0,623.2142857142858
654,Hong Chung,M,L,KOR,0.0,19.0,0.3684210526315789,2016.0,2018.0,2016.0,2017.0,790.5
655,Jason Kubler,M,R,AUS,5.0,134.0,0.6567164179104478,2018.0,2017.0,2018.0,2020.0,220.03197674418607
656,Denis Yevseyev,M,U,KAZ,0.0,114.0,0.4210526315789473,2019.0,2016.0,2019.0,2016.0,397.6315433975009
657,Mick Lescure,M,R,FRA,0.0,21.0,0.5238095238095238,2018.0,2016.0,2017.0,2016.0,545.1
658,Pascal Meis,M,U,GER,0.0,8.0,0.375,2016.0,2017.0,2016.0,2017.0,590.1666666666667
659,Samuel Ribeiro Navarrete,M,U,ESP,0.0,3.0,0.3333333333333333,2016.0,2016.0,2016.0,2016.0,835.75
660,Hugo Dellien,M,R,BOL,5.0,215.0,0.5813953488372093,2019.0,2020.0,2019.0,2020.0,146.5346899224806
661,Maxim Dubarenco,M,R,MDA,0.0,12.0,0.5,2016.0,2016.0,2016.0,2016.0,349.6166666666667
662,Pedro Sakamoto,M,R,BRA,0.0,157.0,0.4904458598726114,2016.0,2020.0,2016.0,2018.0,418.5535897435898
663,Nigmat Shofayziev,M,R,UZB,0.0,14.0,0.2142857142857142,2017.0,2019.0,2018.0,2017.0,1493.5
664,Ryota Kishi,M,U,JPN,0.0,4.0,0.25,2016.0,2018.0,2016.0,2016.0,1238.8333333333335
