Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Anne Kremer,F,U,Undefined,0.0,,
Corina Morariu,F,U,Undefined,0.0,,
Marissa Irvin,F,U,Undefined,0.0,,
Sarah Pitkowski Malcor,F,U,Undefined,0.0,,
Lindsay Davenport,F,U,Undefined,0.0,,
Lesley Turner,F,U,Undefined,0.0,,
Dorothy Whitely,F,U,Undefined,0.0,,
Judith Dibar,F,U,Undefined,0.0,,
Kay Williams,F,U,Undefined,0.0,,
Eva Duldig,F,U,Undefined,0.0,,
Kerry Ballard,F,U,Undefined,0.0,,
Lorraine Coghlan,F,U,Undefined,0.0,,
Valerie Caulley,F,U,Undefined,0.0,,
L Griffiths,F,U,Undefined,0.0,,
Sandra Hole,F,U,Undefined,0.0,,
Lita Liem,F,U,Undefined,0.0,,
Beryl Jenkins,F,U,Undefined,0.0,,
Wendy Gilchrist,F,U,Undefined,0.0,,
Loris Butterfield,F,U,Undefined,0.0,,
Kathleen Harter,F,U,Undefined,0.0,,
Margaret Court,F,U,Undefined,0.0,,
Kerry Harris,F,U,Undefined,0.0,,
Cynthia Doerner,F,U,Undefined,0.0,,
Geri Shepard,F,U,Undefined,0.0,,
Marilyn Tesch,F,U,Undefined,0.0,,
Helen Sheedy,F,U,Undefined,0.0,,
Evonne Goolagong,F,U,Undefined,0.0,,
Ada Bakker,F,U,Undefined,0.0,,
Gail Sherriff,F,U,Undefined,0.0,,
Sheila Washbourne,F,U,Undefined,0.0,,
Sandra Stephen,F,U,Undefined,0.0,,
Lexie Kenny,F,U,Undefined,0.0,,
Lynette Mansfield,F,U,Undefined,0.0,,
Lynne Nette,F,U,Undefined,0.0,,
Carol Sherriff,F,U,Undefined,0.0,,
Rosie Casals,F,U,Undefined,0.0,,
Judy Tegart,F,U,Undefined,0.0,,
Janine Whyte,F,U,Undefined,0.0,,
Judith Salome,F,U,Undefined,0.0,,
Helen Oconnor,F,U,Undefined,0.0,,
Joan Johnson,F,U,Undefined,0.0,,
Lany Kaligis,F,U,Undefined,0.0,,
Patricia Edwards,F,U,Undefined,0.0,,
Heather Mckechnie,F,U,Undefined,0.0,,
Karen Krantzcke,F,U,Undefined,0.0,,
Ann Jenkins,F,U,Undefined,0.0,,
Beverley Rae,F,U,Undefined,0.0,,
Janet Young,F,U,Undefined,0.0,,
Caroline Cooper,F,U,Undefined,0.0,,
Kaye Dening,F,U,Undefined,0.0,,
Kerry Wilkinson,F,U,Undefined,0.0,,
Mary Ann Eisel,F,U,Undefined,0.0,,
Kerry Reid,F,U,Undefined,0.0,,
Alison Mckenzie,F,U,Undefined,0.0,,
Sue Hastings,F,U,Undefined,0.0,,
Barbara Hawcroft,F,U,Undefined,0.0,,
Astrid Suurbeck,F,U,Undefined,0.0,,
Margaret Starr,F,U,Undefined,0.0,,
E Staples,F,U,Undefined,0.0,,
Elena Subirats,F,U,Undefined,0.0,,
Helen Gourlay,F,U,Undefined,0.0,,
Lesley Hunt,F,U,Undefined,0.0,,
Yveline Boy,F,U,Undefined,0.0,,
Janine Murdoch,F,U,Undefined,0.0,,
Helen Amos,F,U,Undefined,0.0,,
Denise Brennan,F,U,Undefined,0.0,,
Billie Jean King,F,U,Undefined,0.0,,
Frances Luff,F,U,Undefined,0.0,,
Helen Kayser,F,U,Undefined,0.0,,
Ann Jones,F,U,Undefined,0.0,,
Francoise Durr,F,U,Undefined,0.0,,
Helen Rush,F,U,Undefined,0.0,,
Kerryl Chute,F,U,Undefined,0.0,,
Pamela Brand,F,U,Undefined,0.0,,
Caroline Langsford,F,U,Undefined,0.0,,
Sally Irvine,F,U,Undefined,0.0,,
Norma Marsh,F,U,Undefined,0.0,,
Sharon Thomson,F,U,Undefined,0.0,,
Theresa Van Haren,F,U,Undefined,0.0,,
Vicki Lancaster Kerr,F,U,Undefined,0.0,,
Sandra Walsham,F,U,Undefined,0.0,,
Judy Harris,F,U,Undefined,0.0,,
L Cameron,F,U,Undefined,0.0,,
Cheryl Norquay,F,U,Undefined,0.0,,
Mandy Morgan,F,U,Undefined,0.0,,
Wendy Turnbull,F,U,Undefined,0.0,,
Norma Eastburn,F,U,Undefined,0.0,,
Winnie Shaw,F,U,Undefined,0.0,,
Elizabeth Allan,F,U,Undefined,0.0,,
Jan Lehane,F,U,Undefined,0.0,,
Christina Sandberg,F,U,Undefined,0.0,,
Susan Alexander,F,U,Undefined,0.0,,
Janet Fallis,F,U,Undefined,0.0,,
Adrienne Avis,F,U,Undefined,0.0,,
Helen Taylor,F,U,Undefined,0.0,,
Patricia Coleman,F,U,Undefined,0.0,,
Patti Hogan,F,U,Undefined,0.0,,
Dianne Fromholtz,F,U,Undefined,0.0,,
Anne Coleman,F,U,Undefined,0.0,,
Sharon Walsh Pete,F,U,Undefined,0.0,,
Kati Athorne,F,U,Undefined,0.0,,
Helen Worland,F,U,Undefined,0.0,,
Mona Guerrant,F,U,Undefined,0.0,,
Diane James,F,U,Undefined,0.0,,
Olga Morozova,F,U,Undefined,0.0,,
Robyn Knobel,F,U,Undefined,0.0,,
Patricia Billing,F,U,Undefined,0.0,,
Brenda Dart,F,U,Undefined,0.0,,
Ann Lebedeff,F,U,Undefined,0.0,,
Chris Matison,F,U,Undefined,0.0,,
Pam Whytcross,F,U,Undefined,0.0,,
Maureen Mccalman,F,U,Undefined,0.0,,
Patricia King,F,U,Undefined,0.0,,
Virginia Wade,F,U,Undefined,0.0,,
Nathalie Fuchs,F,U,Undefined,0.0,,
Kathy Walker,F,U,Undefined,0.0,,
Eugenia Birioukova,F,U,Undefined,0.0,,
Duk Hee Lee,F,U,Undefined,0.0,,
Helen Young,F,U,Undefined,0.0,,
Glynis Coles,F,U,Undefined,0.0,,
Moira Whitely,F,U,Undefined,0.0,,
Soon Oh Lee,F,U,Undefined,0.0,,
Leslie Walker,F,U,Undefined,0.0,,
Dorte Ekner,F,U,Undefined,0.0,,
Marion Proisy,F,U,Undefined,0.0,,
Joan Walker,F,U,Undefined,0.0,,
Lindsay Blachford,F,U,Undefined,0.0,,
Kazuko Sawamatsu,F,U,Undefined,0.0,,
Monique Van Haver,F,U,Undefined,0.0,,
Kiyoko Nomura,F,U,Undefined,0.0,,
Michele Gurdal,F,U,Undefined,0.0,,
Lesley Charles,F,U,Undefined,0.0,,
Chris Oneil,F,U,Undefined,0.0,,
Helen Crozier,F,U,Undefined,0.0,,
Jeong Soon Yang,F,U,Undefined,0.0,,
Chris Evert,F,U,Undefined,0.0,,
Katerleen Szeman,F,U,Undefined,0.0,,
Toshiko Sade,F,U,Undefined,0.0,,
Jenny Walker,F,U,Undefined,0.0,,
Janet Newberry,F,U,Undefined,0.0,,
Helena Anliot,F,U,Undefined,0.0,,
Lindsey Beaven,F,U,Undefined,0.0,,
Sue Barker,F,U,Undefined,0.0,,
Isabelle Larsson,F,U,Undefined,0.0,,
Frances Candy,F,U,Undefined,0.0,,
Jill Schwikert,F,U,Undefined,0.0,,
Nellemieke Brouwer,F,U,Undefined,0.0,,
Margareta Strandberg,F,U,Undefined,0.0,,
Brenda Dale,F,U,Undefined,0.0,,
Nerida Gregory,F,U,Undefined,0.0,,
Julie Heldman,F,U,Undefined,0.0,,
Ann Kiyomura Hayashi,F,U,Undefined,0.0,,
J D Griffiths,F,U,Undefined,0.0,,
Anneloes Schothurst,F,U,Undefined,0.0,,
Sally Arnott,F,U,Undefined,0.0,,
Gail Williams,F,U,Undefined,0.0,,
Joy Schwikert,F,U,Undefined,0.0,,
Jackie Fayter,F,U,Undefined,0.0,,
Jenny Dimond,F,U,Undefined,0.0,,
Pam Teeguarden,F,U,Undefined,0.0,,
Nora Blom,F,U,Undefined,0.0,,
Mimi Wikstedt,F,U,Undefined,0.0,,
Peggy Michel,F,U,Undefined,0.0,,
Miki Yokobori,F,U,Undefined,0.0,,
Sue Mappin,F,U,Undefined,0.0,,
Chris Cerato,F,U,Undefined,0.0,,
Deborah Fiuza,F,U,Undefined,0.0,,
Dianne Evers,F,U,Undefined,0.0,,
Vivicca Andersson,F,U,Undefined,0.0,,
Martina Navratilova,F,U,Undefined,0.0,,
Gwen Stirton,F,U,Undefined,0.0,,
Ai Iida,F,U,Undefined,0.0,,
