Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Guillermo Oropez,M,U,Undefined,0.0,,
Armistead Neely,M,U,Undefined,0.0,,
Pat Cramer,M,U,Undefined,0.0,,
Roy Barth,M,U,Undefined,0.0,,
Onny Parun,M,U,Undefined,0.0,,
Humphrey Hose,M,U,Undefined,0.0,,
Han Jurgen Pohmann,M,U,Undefined,0.0,,
Dan Bleckinger,M,U,Undefined,0.0,,
Gerald Battrick,M,U,Undefined,0.0,,
Steve Faulk,M,U,Undefined,0.0,,
Zeljko Franulovic,M,U,Undefined,0.0,,
Peter Szoke,M,U,Undefined,0.0,,
Peter Fishbach,M,U,Undefined,0.0,,
Robert Lutz,M,U,Undefined,0.0,,
Dick Dell,M,U,Undefined,0.0,,
Jun Kamiwazumi,M,U,Undefined,0.0,,
Marcello Lara,M,U,Undefined,0.0,,
Ismail El Shafei,M,U,Undefined,0.0,,
Toshiro Sakai,M,U,Undefined,0.0,,
Lito Alvarez,M,U,Undefined,0.0,,
Karl Coombes,M,U,Undefined,0.0,,
David Lloyd,M,U,Undefined,0.0,,
Patrice Hagelauer,M,U,Undefined,0.0,,
Peter Kanderal,M,U,Undefined,0.0,,
Ramiro Benavides,M,U,Undefined,0.0,,
Jasjit Singh,M,U,Undefined,0.0,,
Stanley Pasarell,M,U,Undefined,0.0,,
John Bartlett,M,U,Undefined,0.0,,
Vladimir Korotkov,M,U,Undefined,0.0,,
Georges Goven,M,U,Undefined,0.0,,
Jurgen Fassbender,M,U,Undefined,0.0,,
Brian Fairlie,M,U,Undefined,0.0,,
Tom Leonard,M,U,Undefined,0.0,,
Bill Lofgren,M,U,Undefined,0.0,,
Steve Siegel,M,U,Undefined,0.0,,
Gene Stuart Malin,M,U,Undefined,0.0,,
Sever Muresan,M,U,Undefined,0.0,,
Kenneth Mcmillan,M,U,Undefined,0.0,,
Ian Fletcher,M,U,Undefined,0.0,,
Bernard Mignot,M,U,Undefined,0.0,,
John Yuill,M,U,Undefined,0.0,,
Modesto Tito Vazquez,M,U,Undefined,0.0,,
Andrew Pattison,M,U,Undefined,0.0,,
Manuel Orantes,M,U,Undefined,0.0,,
Zan Guerry,M,U,Undefined,0.0,,
Hans Kary,M,U,Undefined,0.0,,
Pavel Hutka,M,U,Undefined,0.0,,
Bob Giltinan,M,U,Undefined,0.0,,
Karl Meiler,M,U,Undefined,0.0,,
Bill Lloyd,M,U,Undefined,0.0,,
Larry Turville,M,U,Undefined,0.0,,
Mike Estep,M,U,Undefined,0.0,,
Jim Ward,M,U,Undefined,0.0,,
Lars Elvstrom,M,U,Undefined,0.0,,
Patrick Proisy,M,U,Undefined,0.0,,
Jeff Borowiak,M,U,Undefined,0.0,,
Luis Felipe Tavares,M,U,Undefined,0.0,,
John Fort,M,U,Undefined,0.0,,
Dale Power,M,U,Undefined,0.0,,
Norman Holmes,M,U,Undefined,0.0,,
Doug Crawford,M,U,Undefined,0.0,,
Kent Crawford,M,U,Undefined,0.0,,
Wanaro Ngodrella,M,U,Undefined,0.0,,
Larry Parker,M,U,Undefined,0.0,,
Nicolas Kelaidis,M,U,Undefined,0.0,,
Haroon Rahim,M,U,Undefined,0.0,,
Alejandro Pierola,M,U,Undefined,0.0,,
Alvaro Betancur,M,U,Undefined,0.0,,
Patrice Dominguez,M,U,Undefined,0.0,,
Antonio Zugarelli,M,U,Undefined,0.0,,
Syd Ball,M,U,Undefined,0.0,,
George Amaya,M,U,Undefined,0.0,,
Phil Dent,M,U,Undefined,0.0,,
Pancho Walthall,M,U,Undefined,0.0,,
Paul Gerken,M,U,Undefined,0.0,,
Kenichi Hirai,M,U,Undefined,0.0,,
Noel Phillips,M,U,Undefined,0.0,,
Dick R Bohrnstedt,M,U,Undefined,0.0,,
George Taylor,M,U,Undefined,0.0,,
Steve Docherty,M,U,Undefined,0.0,,
Louk Sanders,M,U,Undefined,0.0,,
Franklin Robbins,M,U,Undefined,0.0,,
Fred Hemmes,M,U,Undefined,0.0,,
Adriano Panatta,M,U,Undefined,0.0,,
Fred Mcnair,M,U,Undefined,0.0,,
Charles Owens,M,U,Undefined,0.0,,
Robert Mckinley,M,U,Undefined,0.0,,
Butch Palmer,M,U,Undefined,0.0,,
Geoff Masters,M,U,Undefined,0.0,,
Jiri Hrebec,M,U,Undefined,0.0,,
Carlos Kirmayr,M,U,Undefined,0.0,,
Mike Powers,M,U,Undefined,0.0,,
Jeff Simpson,M,U,Undefined,0.0,,
Peter Campbell,M,U,Undefined,0.0,,
Peter Doerner,M,U,Undefined,0.0,,
Mike Machette,M,U,Undefined,0.0,,
Alvin Gardiner,M,U,Undefined,0.0,,
Kjell Johansson,M,U,Undefined,0.0,,
Dick Stockton,M,U,Undefined,0.0,,
Welry Fritz,M,U,Undefined,0.0,,
Erik Van Dillen,M,U,Undefined,0.0,,
Eddie Dibbs,M,U,Undefined,0.0,,
Ricardo Cano,M,U,Undefined,0.0,,
Allan Mcdonald,M,U,Undefined,0.0,,
Antonio Munoz,M,U,Undefined,0.0,,
John James,M,U,Undefined,0.0,,
Bill Freer,M,U,Undefined,0.0,,
Rick Fisher,M,U,Undefined,0.0,,
Hans Engert,M,U,Undefined,0.0,,
Joao Soares,M,U,Undefined,0.0,,
Joel Bailey,M,U,Undefined,0.0,,
Mike Collins,M,U,Undefined,0.0,,
Steve Krulevitz,M,U,Undefined,0.0,,
John Alexander,M,U,Undefined,0.0,,
Jeff Austin,M,U,Undefined,0.0,,
Frank Puncec,M,U,Undefined,0.0,,
Rolf Thung,M,U,Undefined,0.0,,
Max Hurlimann,M,U,Undefined,0.0,,
Paolo Bertolucci,M,U,Undefined,0.0,,
Woody Blocher,M,U,Undefined,0.0,,
Grover Raz Reid,M,U,Undefined,0.0,,
Tim Gullikson,M,U,Undefined,0.0,,
Tom Gullikson,M,U,Undefined,0.0,,
George Glowa,M,U,Undefined,0.0,,
Roscoe Tanner,M,U,Undefined,0.0,,
Luis Baraldi,M,U,Undefined,0.0,,
Ross Case,M,U,Undefined,0.0,,
Jorge Andrew,M,U,Undefined,0.0,,
Peter Feigl,M,U,Undefined,0.0,,
Gary Groslimond,M,U,Undefined,0.0,,
Brian Gottfried,M,U,Undefined,0.0,,
Rolf Norberg,M,U,Undefined,0.0,,
John Andrews,M,U,Undefined,0.0,,
Lajos Levai,M,U,Undefined,0.0,,
Cliff Letcher,M,U,Undefined,0.0,,
John Feaver,M,U,Undefined,0.0,,
Rayno Seegers,M,U,Undefined,0.0,,
Denis Naegelen,M,U,Undefined,0.0,,
Joe Garcia,M,U,Undefined,0.0,,
Anand Amritraj,M,U,Undefined,0.0,,
Jean Francois Caujolle,M,U,Undefined,0.0,,
Sandy Mayer,M,U,Undefined,0.0,,
Kim Warwick,M,U,Undefined,0.0,,
Eric Deblicker,M,U,Undefined,0.0,,
Hartmut Kirchhubel,M,U,Undefined,0.0,,
Terry Moor,M,U,Undefined,0.0,,
Jacques Thamin,M,U,Undefined,0.0,,
Frank Gebert,M,U,Undefined,0.0,,
Mike Cahill,M,U,Undefined,0.0,,
Wojtek Fibak,M,U,Undefined,0.0,,
Sashi Menon,M,U,Undefined,0.0,,
Guillermo Vilas,M,U,Undefined,0.0,,
Andre Zietsmann,M,U,Undefined,0.0,,
Jimmy Connors,M,U,Undefined,0.0,,
Rod Frawley,M,U,Undefined,0.0,,
Harold Solomon,M,U,Undefined,0.0,,
Robin Drysdale,M,U,Undefined,0.0,,
Tenny Svensson,M,U,Undefined,0.0,,
Byron Bertram,M,U,Undefined,0.0,,
Timothy Noonan,M,U,Undefined,0.0,,
Ian Harris,M,U,Undefined,0.0,,
Alvaro Fillol,M,U,Undefined,0.0,,
John Marks,M,U,Undefined,0.0,,
